"N";"Category";"Category Type";"Type";"Description";"Type";"Identifier";"LDEL";"Fields";"Label";"RDEL";"GEDCOM";"Shorten";"Attribute";"Privacy";"Optional";"Hint";"Tooltip"
;;;;;;;;"[NUMBER]";"Manuscript No.";",";;;;;;;
;;;;;;;;"[COLLECTION]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
;;;;;;;;"[RESEARCH COMMENT]";"Descriptive Detail/Evaluation";".";;;;;;;
6;"Archives & Artifacts";"Archived Material";"Personal Bible";;"S";"ESM98";;"[AUTHOR]";"Bible Original Owner";;;;;;;;
;;;;;;;;"[ID]";"BIble ID";",";;;;;;;
;;;;;;;;"[RESEARCH COMMENT]";"Descriptive Detail/Evaluation";".";;;;;;;
7;"Archives & Artifacts";"Archived Material";"Portrait";;"L";"ESM99";;"[SUBJECT]";"Portrait Subject";".";"A";"SG";;;;;
;;;;;;;;"[CREATION DATE]";;".";"P";;;;;;
;;;;;;;;"[COLLECTION]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
7;"Archives & Artifacts";"Archived Material";"Portrait";;"F";"ESM99";;"[SUBJECT]";;",";;"GS";;;;;
;;;;;;;;"[CREATION DATE]";;";";;;;;;;
;;;;;;;;"[COLLECTION]";;",";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
;;;;;;;;"[DESCRIPTION]";"Archival Description";".";;;;;;;
7;"Archives & Artifacts";"Archived Material";"Portrait";;"S";"ESM99";;"[SUBJECT]";;;;"GS";;;;;
;;;;;;;;"[CREATION DATE]";;",";;;;;;;
;;;;;;;;"[COLLECTION]";;".";;;;;;;
8;"Archives & Artifacts";"Archived Material";"Research Report";;"L";"ESM100";;"[AUTHOR]";;",";"A";"SG";;;;;
;;;;;;;;"[PROFESSIONAL CREDENTIALS]";;".";"A";;;;;;
;;;;;;;;"[TITLE]";"Report Title";".";"T";;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";;"P";;;;;;
;;;;;;;" to";"[RECIPIENT]";;".";"P";;;;;;
;;;;;;;;"[DATE]";"Report Date";".";"P";;;;;;
;;;;;;;;"[COLLECTION]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
8;"Archives & Artifacts";"Archived Material";"Research Report";;"F";"ESM100";;"[AUTHOR]";;",";;"GS";;;;;
;;;;;;;;"[PROFESSIONAL CREDENTIALS]";;",";;;;;;;
;;;;;;;;"[TITLE]";"Report Title";",";;;"Quoted";;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[TYPE]";"Item Type";;;;;;;;
;;;;;;;" to";"[RECIPIENT]";;",";;;;;;;
;;;;;;;;"[DATE]";"Report Date";";";;;;;;;
;;;;;;;;"[COLLECTION]";;",";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
8;"Archives & Artifacts";"Archived Material";"Research Report";;"S";"ESM100";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";"Report Title";",";;;"Quoted";;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";".";;;;;;;
9;"Archives & Artifacts";"Archived Material";"Unpublished narrative";;"L";"ESM101";;"[AUTHOR]";;".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";"Manuscript Title";".";"T";;"Quoted";;;;
;;;;;;;;"[NUMBER]";"Manuscript No.";".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
9;"Archives & Artifacts";"Archived Material";"Unpublished narrative";;"F";"ESM101";;"[AUTHOR]";;",";;"GS";;;;;
;;;;;;;;"[TITLE]";"Manuscript Title";",";;;"Quoted";;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[NUMBER]";"Manuscript No.";",";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
9;"Archives & Artifacts";"Archived Material";"Unpublished narrative";;"S";"ESM101";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";"Manuscript Title";",";;;"Quoted";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
10;"Archives & Artifacts";"Archived Material";"Vertical file";;"L";"ESM102";;"[AUTHOR]";;".";"A";;;;;;
;;;;;;;;"[TITLE]";"Item Title";".";"T";;"Quoted";;;;
;;;;;;;;"[DATE]";"Item Date";".";"T";;;;;;
;;;;;;;"folder:";"[FILE UNIT]";"Folder Label";".";"P";;"Quoted";;;;
;;;;;;;;"[COLLECTION]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
10;"Archives & Artifacts";"Archived Material";"Vertical file";;"F";"ESM102";;"[AUTHOR]";;",";;;;;;;
;;;;;;;;"[TITLE]";"Item Title";;;;"Quoted";;;;
;;;;;;;"(";"[DATE]";"Item Date";");";;;;;;;
;;;;;;;"folder:";"[FILE UNIT]";"Folder Label";",";;;"Quoted";;;;
;;;;;;;;"[COLLECTION]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
10;"Archives & Artifacts";"Archived Material";"Vertical file";;"S";"ESM102";;"[AUTHOR]";;",";;;;;;;
;;;;;;;;"[TITLE]";"Item Title";".";;;"Quoted";;;;
11;"Archives & Artifacts";"Preservation Film";"FHL-GSU film";;"L";"ESM103";;"[AUTHOR]";"Compiler";",";"A";"SG";;;;;
;;;;;;;;"[TITLE]";"Manuscript Series Title";".";"T";;"Quoted";;;;
;;;;;;;;"[NUMBER (TOTAL)]";"No. of Vols.";"vols.";"P";;;;;;
;;;;;;;;"[TYPE]";"Item Type";".";"P";;;;;;
;;;;;;;;"[CREATION DATE]";;".";"P";;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY LOCATION]";;".";"P";;;;;;
;;;;;;;;"[FILM TYPE]";;",";"P";;;;;;
;;;;;;;;"[NUMBER (TOTAL)]";"No. of Rolls";"rolls.";"P";;;;;;
;;;;;;;;"[REPOSITORY]";"Film Repository";",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";"Film Location";".";"P";"LOC";;;;;
11;"Archives & Artifacts";"Preservation Film";"FHL-GSU film";;"F";"ESM103";;"[AUTHOR]";"Compiler";",";;"GS";;;;;
;;;;;;;;"[TITLE]";"Manuscript Series Title";",";;;"Quoted";;;;
;;;;;;;;"[NUMBER (TOTAL)]";"No. of Vols.";;;;;;;;
;;;;;;;"(";"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[CREATION DATE]";;",";;;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY]";;",";;;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY LOCATION]";;"),";;;;;;;
;;;;;;;"vol.";"[VOLUME]";;",";;;;;;;
;;;;;;;;"[SECTION]";;":";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[FILM TYPE]";;;;;;;;;
;;;;;;;;"[ID]";"Film ID";".";;;;;;;
11;"Archives & Artifacts";"Preservation Film";"FHL-GSU film";;"S";"ESM103";;"[AUTHOR]";"Compiler";",";;;;;;;
;;;;;;;;"[TITLE]";"Manuscript Series Title";",";;;"Quoted";;;;
;;;;;;;"vol.";"[VOLUME]";;",";;;;;;;
;;;;;;;;"[SECTION]";;":";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
12;"Archives & Artifacts";"Preservation Film";"In-house film";;"L";"ESM104";;"[COLLECTION]";;".";"T";;;;;;
;;;;;;;;"[ID]";"Film ID";",";"T";;;;;;
;;;;;;;;"[NUMBER (TOTAL)]";"No. of Rolls";"rolls.";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
12;"Archives & Artifacts";"Preservation Film";"In-house film";;"F";"ESM104";;"[TITLE]";"Record Title";",";;;"Quoted";;;;
;;;;;;;;"[DATE]";"Record Date(s)";";";;;;;;;
;;;;;;;;"[FILE]";;",";;;;;;;
;;;;;;;;"[COLLECTION]";;";";;;;;;;
;;;;;;;;"[ID]";"Film ID";",";;;;;;;
;;;;;;;"roll ";"[ROLL]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
12;"Archives & Artifacts";"Preservation Film";"In-house film";;"S";"ESM104";;"[TITLE]";"Record Title";",";;;"Quoted";;;;
;;;;;;;;"[DATE]";"Record Date(s)";",";;"YEAR";;;;;
;;;;;;;;"[FILE]";;",";;;;;;;
;;;;;;;;"[COLLECTION]";;".";;;;;;;
13;"Archives & Artifacts";"Private Holdings";"Artifact";;"L";"ESM105";;"[AUTHOR]";"Compiler";".";"A";"SG";;;;;
;;;;;;;;"[TYPE]";"Artifact Type";".";"T";;;;;;
;;;;;;;;"[CREATION DATE]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";"Current or Last Known Owner";",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
;;;;;;;;"[YEAR]";"Year Owned";".";"P";;;;;;
13;"Archives & Artifacts";"Private Holdings";"Artifact";;"F";"ESM105";;"[ID]";"Item ID";",";;;;;;;
;;;;;;;"in ";"[AUTHOR]";"Compiler";;;"GS";;;;;
;;;;;;;;"[TYPE]";"Artifact Type";",";;;;;;;
;;;;;;;;"[CREATION DATE]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";"Current or Last Known Owner";",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;",";;"LOC";;;;;
;;;;;;;;"[YEAR]";"Year Owned";".";;;;;;;
;;;;;;;;"[RESEARCH COMMENT]";"Descriptive Detail/Evaluation";".";;;;;;;
13;"Archives & Artifacts";"Private Holdings";"Artifact";;"S";"ESM105";;"[ID]";"Item ID";",";;;;;;;
;;;;;;;;"[AUTHOR]";"Compiler";;;"GS";;;;;
;;;;;;;;"[TYPE]";"Artifact Type";".";;;;;;;
14;"Archives & Artifacts";"Private Holdings";"Diary or journal, etc.";;"L";"ESM106";;"[AUTHOR]";;".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";"Manuscript Title";".";"T";;"Quoted";;;;
;;;;;;;;"[TYPE]";"Record Type";".";"P";;;;;;
;;;;;;;;"[PLACE CREATED]";;",";"P";;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";"Current or Last Known Owner";",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
;;;;;;;;"[YEAR]";"Year Owned";".";"P";;;;;;
14;"Archives & Artifacts";"Private Holdings";"Diary or journal, etc.";;"F";"ESM106";;"[AUTHOR]";;",";;"GS";;;;;
;;;;;;;;"[TITLE]";"Manuscript Title";",";;;"Quoted";;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[TYPE]";"Record Type";",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";;;;;;;;
;;;;;;;"(";"[PLACE CREATED]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";"Current or Last Known Owner";",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;",";;"LOC";;;;;
;;;;;;;;"[YEAR]";"Year Owned";").";;;;;;;
;;;;;;;;"[RESEARCH COMMENT]";"Descriptive Detail/Evaluation";".";;;;;;;
14;"Archives & Artifacts";"Private Holdings";"Diary or journal, etc.";;"S";"ESM106";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";"Manuscript Title";",";;;"Quoted";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
15;"Archives & Artifacts";"Private Holdings";"Family Bible Records";;"L";"ESM107";;"[AUTHOR]";"Bible Original Owner";",";"A";"SG";;;;;
;;;;;;;;"[ID]";"BIble ID";;"T";;;;;;
;;;;;;;;"[DATE RANGE]";;".";"P";;;;;;
;;;;;;;;"[TITLE]";"Bible Title";".";"P";;"Italics";;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[PUBLICATION YEAR]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";"Current or Last Known Owner";",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
;;;;;;;;"[YEAR]";"Year Owned";".";"P";;;;;;
15;"Archives & Artifacts";"Private Holdings";"Family Bible Records";;"F";"ESM107";;"[AUTHOR]";"Bible Original Owner";;;"GS";;;;;
;;;;;;;;"[ID]";"BIble ID";",";;;;;;;
;;;;;;;;"[DATE RANGE]";;",";;;;;;;
;;;;;;;;"[TITLE]";"Bible Title";;;;"Italics";;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[PUBLICATION YEAR]";;"),";;;;;;;
;;;;;;;;"[SECTION]";;",";;;"Quoted";;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[REPOSITORY]";"Current or Last Known Owner";",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;",";;"LOC";;;;;
;;;;;;;;"[YEAR]";"Year Owned";".";;;;;;;
;;;;;;;;"[RESEARCH COMMENT]";"Descriptive Detail/Evaluation";".";;;;;;;
15;"Archives & Artifacts";"Private Holdings";"Family Bible Records";;"S";"ESM107";;"[AUTHOR]";"Bible Original Owner";;;"GS";;;;;
;;;;;;;;"[ID]";"BIble ID";",";;;;;;;
;;;;;;;;"[SECTION]";;".";;;"Quoted";;;;
;;;;;;;;"[PAGE]";"Page(s)";;;;;;;;
16;"Archives & Artifacts";"Private Holdings";"Family Chart or Group Sheet";;"L";"ESM108";;"[AUTHOR]";"Compiler";".";"A";"SG";;;;;
;;;;;;;;"[COLLECTION]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";"Owner or Supplier";",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;",";"P";"LOC";;;;;
;;;;;;;;"[YEAR]";"Year Supplied";".";"P";;;;;;
16;"Archives & Artifacts";"Private Holdings";"Family Chart or Group Sheet";;"F";"ESM108";;"[AUTHOR]";"Compiler";",";;"GS";;;;;
;;;;;;;;"[ID]";"Item ID";",";;;;;;;
;;;;;;;;"[COLLECTION]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";"Owner or Supplier";",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;",";;"LOC";;;;;
;;;;;;;;"[YEAR]";"Year Supplied";".";;;;;;;
;;;;;;;;"[RESEARCH COMMENT]";"Description & Evaluation by Researcher";".";;;;;;;
16;"Archives & Artifacts";"Private Holdings";"Family Chart or Group Sheet";;"S";"ESM108";;"[AUTHOR]";"Compiler";",";;"S";;;;;
;;;;;;;;"[ID]";"Item ID";",";;;;;;;
17;"Archives & Artifacts";"Private Holdings";"Historic letter";;"L";"ESM109";;"[AUTHOR]";"Writer";;"A";"SG";;;;;
;;;;;;;"(";"[ADDRESS]";"Writer's Address";")";"P";"PRIVLOC";;"Privacy";;;
;;;;;;;" to";"[RECIPIENT]";;".";"T";;;;;;
;;;;;;;;"[TYPE]";"Item Type";".";"T";;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";"Current or Last Known Owner";",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
;;;;;;;;"[YEAR]";"Year Owned";".";"P";;;;;;
17;"Archives & Artifacts";"Private Holdings";"Historic letter";;"F";"ESM109";;"[AUTHOR]";"Writer";;;"GS";;;;;
;;;;;;;"(";"[ADDRESS]";"Writer's Address";")";;"PRIVLOC";;"Privacy";;;
;;;;;;;" to";"[RECIPIENT]";;",";;;;;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";";";;;;;;;
;;;;;;;;"[REPOSITORY]";"Current or Last Known Owner";",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;",";;"LOC";;;;;
;;;;;;;;"[YEAR]";"Year Owned";".";;;;;;;
;;;;;;;;"[RESEARCH COMMENT]";"Descriptive Detail/Evaluation";".";;;;;;;
17;"Archives & Artifacts";"Private Holdings";"Historic letter";;"S";"ESM109";;"[AUTHOR]";"Writer";;;"GS";;;;;
;;;;;;;" to";"[RECIPIENT]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";".";;;;;;;
18;"Archives & Artifacts";"Private Holdings";"Interview tape & transcript";;"L";"ESM110";;"[AUTHOR]";"Person Interviewed";".";"A";"SG";;;;;
;;;;;;;;"[LOCATION]";;".";"T";;;;;;
;;;;;;;;"[TYPE]";"Item Type";"by";"T";;;;;;
;;;;;;;;"[INTERVIEWER]";;",";"T";;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";".";"P";;;;;;
;;;;;;;;"[FORMAT]";"Item Format";".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";"Current or Last Known Owner";",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
;;;;;;;;"[YEAR]";"Year Owned";".";"P";;;;;;
18;"Archives & Artifacts";"Private Holdings";"Interview tape & transcript";;"F";"ESM110";;"[AUTHOR]";"Person Interviewed";;;"GS";;;;;
;;;;;;;"(";"[ADDRESS]";"Interviewee address";",";;;;"Privacy";;;
;;;;;;;;"[LOCATION]";;"),";;;;;;;
;;;;;;;;"[TYPE]";"Item Type";"by";;;;;;;
;;;;;;;;"[INTERVIEWER]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";";";;;;;;;
;;;;;;;;"[FORMAT]";"Item Format";;;;;;;;
;;;;;;;;"[REPOSITORY]";"Current or Last Known Owner";",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;",";;"LOC";;;;;
;;;;;;;;"[YEAR]";"Year Owned";".";;;;;;;
18;"Archives & Artifacts";"Private Holdings";"Interview tape & transcript";;"S";"ESM110";;"[AUTHOR]";"Person Interviewed";",";;"GS";;;;;
